Name, "VatRate"
Hungary,27
Norway,25
Sweden,25
Croatia,25
Finland,24
Greece,24
Iceland,24
Ireland,23
Portugal,23
Italy,22
Uruguay,22
Slovenia,22
Spain,21
Belgium,21
Lithuania,21
Latvia,21
Czech Republic,21
Montenegro,21
Argentina,21
Austria,20
France,20
United Kingdom,20
Russia,20
Belarus,20
Estonia,20
Ukraine,20
Slovakia,20
Moldova,20
Bulgaria,20
Albania,20
Uzbekistan,20
Armenia,20
Serbia,20
Kyrgyzstan,20
Tajikistan,20
Madagascar,20
Morocco,20
Germany,19
Romania,19
Cyprus,19
Monaco,19
Algeria,19
Chile,19
Colombia,19
Central African Republic,19
Niger,19
Turkey,18
North Macedonia,18
Azerbaijan,18
Georgia,18
Malta,18
Peru,18
Chad,18
Dominican Republic,18
Mali,18
Tanzania,18
Togo,18
Tunisia,18
Benin,18
Burkina Faso,18
Burundi,18
Gabon,18
Guinea,18
Cote d'Ivoire,18
Uganda,18
Rwanda,18
Senegal,18
Luxembourg,17
Bosnia and Herzegovina,17
Barbados,17
Saint Kitts and Nevis,17
Israel,17
Pakistan,17
Sri Lanka,17
Mozambique,17
Sudan,17
Mexico,16
Kenya,16
Guyana,16
Jordan,16
Zambia,16
Republic of the Congo,16
Democratic Republic of the Congo,16
Malawi,16
Ethiopia,15
Ghana,15
South Africa,15
New Zealand,15
Tonga,15
Samoa,15
Fiji,15
Saint Vincent and the Grenadines,15
Grenada,15
Honduras,15
Dominica,15
Nicaragua,15
Saudi Arabia,15
Turkmenistan,15
Bangladesh,15
Zimbabwe,15
Equatorial Guinea,15
The Gambia,15
Guinea-Bissau,15
Cape Verde,15
Mauritius,15
Namibia,15
Seychelles,15
Sierra Leone,15
Egypt,14
Lesotho,14
Mauritania,14
People's Republic of China,13
Vanuatu,13
Bolivia,13
El Salvador,13
Costa Rica,13
Nepal,13
Kazakhstan,12
Belize,12
Venezuela,12
Ecuador,12
Trinidad and Tobago,12
Jamaica,12
Guatemala,12
Philippines,12
Botswana,12
Lebanon,11
Japan,10
Indonesia,10
Cambodia,10
Papua New Guinea,10
Mongolia,10
Paraguay,10
Haiti,10
Laos,10
Thailand,10
Vietnam,10
South Korea,10
Iran,9
Switzerland,7
Singapore,7
Liechtenstein,7
The Bahamas,7
Panama,7
Nigeria,7
Maldives,6
Malaysia,6
Bahrain,5
India,5
Taiwan,5
United Arab Emirates,5
Andorra,4
